ID,DUR_Aulaweb,DUR_Blank,DUR_Deeds,DUR_Diagram,DUR_Other,DUR_Properties,DUR_Study,DUR_TextEditor,KS_Aulaweb,KS_Blank,KS_Deeds,KS_Diagram,KS_Other,KS_Properties,KS_Study,KS_TextEditor,MCL_Aulaweb,MCL_Blank,MCL_Deeds,MCL_Diagram,MCL_Other,MCL_Properties,MCL_Study,MCL_TextEditor,MCR_Aulaweb,MCR_Blank,MCR_Deeds,MCR_Diagram,MCR_Other,MCR_Study,MCR_TextEditor,MM_Aulaweb,MM_Blank,MM_Deeds,MM_Diagram,MM_Other,MM_Properties,MM_Study,MM_TextEditor,MW_Aulaweb,MW_Blank,MW_Deeds,MW_Diagram,MW_Other,MW_Study,MW_TextEditor,MWC_Aulaweb
1,3647532.0,33274.0,32405168.0,57068818.0,673720.0,72754.0,3578043.0,1165152.0,0.0,5.0,152.0,4.0,71.0,54.0,0.0,898.0,80.0,207.0,1636.0,1141.0,252.0,104.0,194.0,702.0,0.0,30.0,197.0,44.0,6.0,6.0,11.0,8873.0,14322.0,123316.0,78390.0,21783.0,6096.0,28600.0,43592.0,27.0,0.0,21.0,9.0,54.0,74.0,265.0,0.0
2,90533.0,5119.0,153036710.0,15821086.0,1144159.0,22007.0,1374319.0,12295064.0,0.0,5.0,236.0,8.0,124.0,0.0,0.0,803.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,467029.0,40315.0,17320071.0,7786970.0,3576169.0,24706.0,45434441.0,3644990.0,6.0,5.0,244.0,30.0,222.0,58.0,2.0,1023.0,0.0,13.0,280.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,330.0,9597.0,0.0,72.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1302787.0,5292254.0,28960131.0,9919495.0,1618069.0,105690.0,572534.0,2609364.0,189.0,2.0,310.0,5.0,104.0,62.0,6.0,635.0,131.0,147.0,900.0,508.0,541.0,42.0,159.0,237.0,4.0,2.0,6.0,0.0,38.0,0.0,0.0,24439.0,11994.0,80119.0,43123.0,43101.0,4097.0,25706.0,29833.0,70.0,12.0,13.0,19.0,19.0,121.0,363.0,0.0
7,937.0,5527.0,122404677.0,58494163.0,1006004.0,15979.0,2572151.0,5644434.0,0.0,3.0,396.0,265.0,131.0,42.0,0.0,1042.0,34.0,40.0,1287.0,505.0,202.0,52.0,77.0,283.0,0.0,0.0,58.0,4.0,0.0,2.0,0.0,1458.0,1803.0,65000.0,21271.0,7935.0,1502.0,4960.0,13078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9001068.0,348144.0,2809682.0,1220659.0,1081617.0,3666.0,668826.0,1161889.0,0.0,0.0,12.0,6.0,40.0,0.0,0.0,788.0,94.0,73.0,1167.0,181.0,306.0,22.0,203.0,371.0,2.0,4.0,192.0,24.0,20.0,48.0,2.0,9381.0,3474.0,52806.0,11561.0,18415.0,912.0,8974.0,19615.0,51.0,0.0,7.0,0.0,141.0,97.0,298.0,0.0
10,0.0,30.0,215751705.0,15104244.0,6152924.0,19868.0,0.0,22242360.0,0.0,0.0,34.0,0.0,78.0,42.0,0.0,577.0,0.0,26.0,1442.0,275.0,404.0,33.0,0.0,494.0,0.0,25.0,160.0,8.0,12.0,0.0,3.0,0.0,2246.0,87513.0,21384.0,17263.0,1676.0,0.0,34808.0,0.0,0.0,24.0,0.0,10.0,0.0,549.0,0.0
11,6399655.0,182271.0,77054626.0,12587415.0,8937181.0,3999.0,1230143.0,99756012.0,0.0,5.0,32.0,34.0,350.0,0.0,0.0,392.0,143.0,128.0,1068.0,506.0,275.0,43.0,113.0,573.0,6.0,21.0,128.0,2.0,24.0,0.0,13.0,20009.0,13778.0,87040.0,36140.0,27511.0,2792.0,16881.0,56276.0,37.0,5.0,36.0,38.0,21.0,65.0,136.0,0.0
12,12753848.0,12312.0,7473932.0,26808385.0,7350044.0,25786.0,1694901.0,2792364.0,0.0,0.0,118.0,2.0,617.0,0.0,0.0,781.0,104.0,154.0,1086.0,257.0,771.0,25.0,221.0,340.0,0.0,7.0,128.0,0.0,46.0,0.0,1.0,4481.0,3436.0,33711.0,12328.0,20168.0,627.0,11076.0,9451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,995286.0,72699.0,68775332.0,22777453.0,42818107.0,34881.0,3569561.0,19860689.0,0.0,0.0,93.0,0.0,143.0,104.0,0.0,799.0,36.0,47.0,1323.0,169.0,486.0,41.0,151.0,389.0,0.0,0.0,322.0,18.0,8.0,0.0,8.0,4727.0,4076.0,92481.0,12080.0,49229.0,2101.0,13625.0,25773.0,17.0,0.0,23.0,0.0,677.0,80.0,581.0,0.0
15,71534.0,284475.0,131059361.0,33510195.0,2490946.0,57565.0,5530224.0,8634461.0,51.0,0.0,321.0,38.0,83.0,42.0,0.0,780.0,54.0,152.0,1344.0,790.0,232.0,36.0,218.0,681.0,4.0,5.0,160.0,28.0,25.0,1.0,1.0,2233.0,4537.0,53011.0,24626.0,8618.0,1392.0,12098.0,24933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
