ID,DUR_Aulaweb,DUR_Blank,DUR_Deeds,DUR_Diagram,DUR_Other,DUR_Properties,DUR_Study,DUR_TextEditor,KS_Aulaweb,KS_Blank,KS_Deeds,KS_Diagram,KS_Other,KS_Properties,KS_Study,KS_TextEditor,MCL_Aulaweb,MCL_Blank,MCL_Deeds,MCL_Diagram,MCL_Other,MCL_Properties,MCL_Study,MCL_TextEditor,MCR_Blank,MCR_Deeds,MCR_Diagram,MCR_Other,MCR_TextEditor,MM_Aulaweb,MM_Blank,MM_Deeds,MM_Diagram,MM_Other,MM_Properties,MM_Study,MM_TextEditor,MW_Aulaweb,MW_Blank,MW_Deeds,MW_Diagram,MW_Other,MW_Study,MW_TextEditor,MWC_Aulaweb,MWC_Study,MWC_TextEditor
2,118193.0,4592.0,98368396.0,644524.0,153556.0,0.0,3670940.0,524382883.0,0.0,0.0,142.0,0.0,76.0,0.0,0.0,4731.0,23.0,53.0,1754.0,101.0,66.0,16.0,103.0,3546.0,0.0,250.0,0.0,2.0,54.0,871.0,3482.0,110261.0,4471.0,3329.0,492.0,8200.0,134835.0,0.0,0.0,39.0,1.0,0.0,240.0,1099.0,0.0,0.0,0.0
3,9702.0,26088.0,25540920.0,2559996.0,120997.0,16.0,18852631.0,798271414.0,8.0,0.0,156.0,6.0,14.0,0.0,0.0,4693.0,35.0,165.0,1615.0,425.0,154.0,11.0,107.0,1492.0,2.0,261.0,2.0,0.0,3.0,1778.0,2821.0,47075.0,14525.0,5733.0,191.0,4323.0,90466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,41889.0,251237.0,156390206.0,20833184.0,217217.0,0.0,3052822.0,1468999528.0,3.0,0.0,79.0,66.0,303.0,0.0,9.0,6234.0,65.0,136.0,1175.0,496.0,161.0,4.0,171.0,1698.0,5.0,276.0,2.0,4.0,1.0,1559.0,3211.0,38279.0,19147.0,2722.0,105.0,5200.0,44621.0,0.0,10.0,56.0,8.0,1.0,430.0,2713.0,0.0,0.0,0.0
5,281017.0,2299.0,37867813.0,1585401.0,34343.0,16.0,10601027.0,741545666.0,0.0,5.0,228.0,30.0,49.0,0.0,0.0,7175.0,33.0,83.0,1155.0,276.0,162.0,12.0,91.0,1136.0,59.0,98.0,0.0,16.0,15.0,5113.0,7049.0,95978.0,27026.0,12196.0,558.0,16741.0,128305.0,44.0,3.0,103.0,0.0,0.0,180.0,1742.0,0.0,0.0,0.0
6,314.0,3808.0,27542063.0,7044699.0,308037.0,923.0,45867237.0,1371889870.0,0.0,15.0,6.0,0.0,27.0,0.0,0.0,4128.0,22.0,248.0,1064.0,311.0,192.0,11.0,151.0,1915.0,14.0,280.0,4.0,0.0,14.0,1108.0,9632.0,64807.0,21330.0,9447.0,578.0,19930.0,114564.0,1.0,0.0,94.0,0.0,0.0,331.0,4026.0,0.0,0.0,0.0
7,10824.0,2156.0,111151080.0,3733557.0,37328.0,45706.0,5685671.0,978008844.0,0.0,0.0,106.0,4.0,52.0,0.0,0.0,5049.0,36.0,17.0,1386.0,479.0,68.0,10.0,94.0,1756.0,0.0,378.0,6.0,0.0,4.0,2058.0,559.0,55857.0,17400.0,3081.0,324.0,4009.0,76411.0,37.0,0.0,0.0,0.0,0.0,7.0,684.0,0.0,0.0,0.0
8,2860.0,20548.0,174360549.0,3684.0,11250956.0,6950.0,3704121.0,588276831.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,3715.0,24.0,39.0,1358.0,91.0,38.0,10.0,68.0,2592.0,49.0,366.0,0.0,0.0,17.0,1804.0,4433.0,66942.0,4327.0,2897.0,1076.0,5958.0,107534.0,6.0,0.0,319.0,0.0,4.0,117.0,2087.0,0.0,0.0,0.0
9,29115.0,249393.0,40167009.0,14299729.0,39731.0,77.0,2241313.0,695009007.0,0.0,0.0,76.0,4.0,0.0,0.0,0.0,5093.0,22.0,45.0,1667.0,684.0,166.0,25.0,102.0,1845.0,0.0,387.0,10.0,20.0,0.0,1436.0,1848.0,79639.0,28347.0,6869.0,1138.0,7924.0,87897.0,16.0,0.0,71.0,16.0,0.0,180.0,2801.0,0.0,0.0,0.0
10,6687.0,9663.0,26994351.0,2124972.0,216902.0,125.0,5351821.0,576226411.0,0.0,2.0,72.0,0.0,28.0,0.0,0.0,2910.0,57.0,91.0,2052.0,311.0,213.0,31.0,172.0,2086.0,62.0,350.0,2.0,8.0,6.0,3557.0,6812.0,101486.0,20655.0,11100.0,1044.0,13125.0,122591.0,0.0,26.0,8.0,0.0,2.0,27.0,482.0,0.0,0.0,4.0
11,343.0,223835.0,16876450.0,440.0,262223.0,47.0,8016200.0,2186880553.0,0.0,2.0,2.0,0.0,58.0,0.0,0.0,2607.0,0.0,19.0,22.0,0.0,28.0,0.0,19.0,282.0,0.0,2.0,0.0,0.0,0.0,0.0,1268.0,4642.0,0.0,2730.0,0.0,6680.0,15040.0,0.0,14.0,7.0,0.0,6.0,30.0,116.0,0.0,0.0,0.0
