ID,DUR_Aulaweb,DUR_Blank,DUR_Deeds,DUR_Diagram,DUR_FSM,DUR_Other,DUR_Properties,DUR_Study,DUR_TextEditor,KS_Aulaweb,KS_Blank,KS_Deeds,KS_Diagram,KS_FSM,KS_Other,KS_Properties,KS_Study,KS_TextEditor,MCL_Aulaweb,MCL_Blank,MCL_Deeds,MCL_Diagram,MCL_FSM,MCL_Other,MCL_Properties,MCL_Study,MCL_TextEditor,MCR_Blank,MCR_Deeds,MCR_FSM,MCR_Other,MCR_Properties,MCR_Study,MCR_TextEditor,MM_Aulaweb,MM_Blank,MM_Deeds,MM_Diagram,MM_FSM,MM_Other,MM_Properties,MM_Study,MM_TextEditor,MW_Aulaweb,MW_Blank,MW_Deeds,MW_Diagram,MW_FSM,MW_Other,MW_Properties,MW_Study,MW_TextEditor,MWC_Aulaweb,MWC_Study
1,30858.0,389425.0,6803672.0,1135581.0,99224035.0,67482.0,6042033.0,22206901.0,10633208.0,4.0,0.0,12.0,0.0,287.0,99.0,145.0,294.0,954.0,20.0,73.0,234.0,72.0,4651.0,220.0,356.0,283.0,391.0,4.0,32.0,56.0,0.0,0.0,4.0,0.0,1735.0,3592.0,15902.0,6885.0,321116.0,11207.0,18563.0,54517.0,37987.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,315.0,1019.0,0.0,0.0
2,8489259.0,19200.0,390557.0,15148.0,106596458.0,1429942.0,606623.0,160733932.0,673165.0,0.0,0.0,10.0,0.0,192.0,406.0,44.0,0.0,894.0,55.0,59.0,174.0,30.0,2054.0,233.0,155.0,122.0,222.0,0.0,30.0,52.0,0.0,0.0,0.0,22.0,3415.0,2569.0,9218.0,1257.0,120204.0,11204.0,6883.0,11928.0,12589.0,0.0,0.0,0.0,0.0,102.0,174.0,0.0,403.0,203.0,0.0,0.0
4,11966.0,5627000.0,58953.0,649765.0,154786765.0,47468.0,2149634.0,13999653.0,2407358.0,11.0,0.0,14.0,12.0,561.0,7.0,192.0,6.0,1085.0,39.0,170.0,121.0,31.0,5752.0,207.0,635.0,277.0,166.0,1.0,22.0,19.0,2.0,0.0,0.0,0.0,1827.0,8698.0,4427.0,2624.0,278790.0,8271.0,25749.0,22445.0,7721.0,5.0,0.0,0.0,0.0,210.0,6.0,1.0,208.0,352.0,0.0,0.0
5,0.0,17885.0,256597.0,5402007.0,151202655.0,251316.0,1086354.0,12844637.0,14161871.0,0.0,2.0,10.0,0.0,449.0,4.0,169.0,0.0,924.0,0.0,111.0,130.0,70.0,3816.0,440.0,442.0,152.0,247.0,30.0,18.0,92.0,8.0,0.0,0.0,4.0,0.0,8197.0,9635.0,8303.0,304521.0,30209.0,37280.0,33175.0,34681.0,0.0,11.0,0.0,0.0,91.0,84.0,1.0,181.0,631.0,0.0,0.0
6,27126.0,1329875.0,958438.0,27699.0,80673859.0,25121535.0,6392570.0,74168730.0,5549909.0,0.0,46.0,2.0,0.0,185.0,756.0,89.0,0.0,2135.0,54.0,352.0,232.0,58.0,3056.0,308.0,371.0,236.0,399.0,12.0,22.0,4.0,0.0,0.0,2.0,16.0,3539.0,14786.0,7850.0,3090.0,193184.0,24500.0,30981.0,37684.0,40240.0,0.0,0.0,0.0,0.0,34.0,169.0,14.0,260.0,1960.0,0.0,0.0
7,1969792.0,125449.0,4153713.0,1074200.0,353973334.0,739934.0,3662120.0,86108205.0,1742075.0,0.0,0.0,8.0,0.0,178.0,174.0,118.0,20.0,403.0,43.0,48.0,120.0,54.0,2729.0,165.0,289.0,142.0,156.0,0.0,22.0,72.0,2.0,0.0,2.0,0.0,3080.0,3354.0,8216.0,4613.0,177039.0,9778.0,13288.0,20001.0,15282.0,46.0,3.0,20.0,2.0,156.0,241.0,0.0,554.0,190.0,0.0,0.0
9,814.0,2422885.0,2537912.0,784857.0,337489013.0,1784198.0,12391829.0,45287081.0,4083811.0,0.0,0.0,0.0,0.0,136.0,72.0,68.0,36.0,830.0,33.0,67.0,175.0,62.0,2863.0,182.0,297.0,207.0,360.0,2.0,18.0,0.0,0.0,0.0,0.0,2.0,816.0,1449.0,5553.0,2145.0,80868.0,4355.0,8259.0,7480.0,13990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,180217.0,20431364.0,6840737.0,292200.0,232417200.0,46697932.0,4633415.0,32161395.0,9508103.0,0.0,0.0,0.0,0.0,315.0,737.0,125.0,0.0,540.0,41.0,193.0,247.0,28.0,3751.0,347.0,376.0,127.0,276.0,24.0,21.0,62.0,0.0,1.0,0.0,2.0,2543.0,10401.0,10440.0,1777.0,183773.0,21890.0,18750.0,10585.0,18312.0,30.0,10.0,0.0,0.0,131.0,208.0,0.0,100.0,870.0,0.0,0.0
11,62.0,60371.0,606943.0,35964.0,131047405.0,449421.0,8536559.0,109023409.0,804374.0,0.0,1.0,8.0,0.0,390.0,135.0,288.0,0.0,398.0,4.0,264.0,127.0,28.0,3568.0,301.0,445.0,193.0,218.0,8.0,20.0,38.0,0.0,0.0,0.0,4.0,293.0,14445.0,8942.0,1789.0,266359.0,18549.0,34591.0,45482.0,24000.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,207.0,260.0,0.0,0.0
12,460694.0,16442015.0,450705.0,700264.0,967436744.0,7497946.0,6064890.0,186379356.0,2179364.0,0.0,0.0,0.0,0.0,86.0,187.0,98.0,16.0,788.0,18.0,86.0,99.0,38.0,2040.0,276.0,247.0,93.0,229.0,16.0,16.0,0.0,6.0,0.0,2.0,2.0,479.0,1885.0,2382.0,1002.0,55863.0,4638.0,5424.0,4948.0,5536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2298.0,45164.0,11539736.0,2989037.0,92050643.0,214340889.0,734622.0,96356294.0,2870465.0,0.0,0.0,4.0,0.0,175.0,1980.0,117.0,2.0,895.0,24.0,87.0,486.0,24.0,2757.0,382.0,302.0,131.0,130.0,2.0,26.0,32.0,10.0,2.0,0.0,0.0,1432.0,3636.0,9496.0,3139.0,160885.0,22596.0,20927.0,18906.0,11792.0,19.0,0.0,0.0,5.0,94.0,176.0,3.0,433.0,771.0,0.0,0.0
14,4901.0,127933.0,261632.0,439381.0,277428687.0,1385438.0,16309357.0,20047806.0,29564299.0,0.0,0.0,18.0,0.0,147.0,64.0,141.0,0.0,1044.0,7.0,114.0,131.0,38.0,3046.0,284.0,315.0,152.0,175.0,6.0,22.0,0.0,10.0,0.0,0.0,0.0,368.0,3681.0,5523.0,1804.0,148630.0,16946.0,15906.0,16019.0,10606.0,0.0,0.0,0.0,0.0,112.0,77.0,10.0,176.0,695.0,0.0,0.0
15,155.0,1204927.0,979104.0,364024.0,255860521.0,123451.0,1185800.0,41849101.0,19710007.0,0.0,0.0,8.0,0.0,125.0,0.0,142.0,0.0,436.0,14.0,296.0,200.0,76.0,3360.0,94.0,415.0,290.0,388.0,2.0,18.0,6.0,0.0,0.0,0.0,0.0,608.0,12337.0,11029.0,3174.0,196378.0,7773.0,17677.0,30868.0,23966.0,0.0,0.0,0.0,0.0,215.0,34.0,0.0,179.0,642.0,0.0,0.0
16,1342.0,1140.0,1686560.0,1902048.0,264097028.0,199175.0,454383.0,32266982.0,7341287.0,0.0,12.0,52.0,0.0,234.0,12.0,156.0,96.0,896.0,15.0,34.0,163.0,98.0,3278.0,173.0,298.0,181.0,518.0,1.0,2.0,12.0,5.0,0.0,0.0,0.0,271.0,940.0,6216.0,3460.0,114209.0,5387.0,8440.0,8062.0,22343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1248.0,10814489.0,1137625.0,731346.0,177161069.0,117181.0,17389958.0,96852045.0,4011499.0,0.0,0.0,4.0,0.0,287.0,38.0,226.0,0.0,669.0,31.0,89.0,136.0,23.0,2824.0,218.0,318.0,156.0,323.0,26.0,18.0,12.0,2.0,0.0,0.0,12.0,1816.0,3817.0,5786.0,1784.0,154821.0,10779.0,21073.0,16997.0,13629.0,112.0,0.0,1.0,0.0,76.0,15.0,16.0,384.0,176.0,0.0,0.0
18,71957.0,172618.0,3948991.0,647462.0,122103519.0,903506.0,4419684.0,147725313.0,12766749.0,0.0,0.0,8.0,0.0,239.0,33.0,180.0,0.0,1369.0,34.0,141.0,107.0,36.0,3407.0,211.0,403.0,288.0,436.0,0.0,16.0,12.0,12.0,0.0,6.0,20.0,1675.0,4998.0,4610.0,2602.0,134015.0,8319.0,14494.0,17460.0,19230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
