ID,"TOTAL
(100 points)",idle_time_ Aulaweb,idle_time_ Blank,idle_time_ Deeds,idle_time_ Diagram,idle_time_ Other,idle_time_ Properties,idle_time_ Study,idle_time_ TextEditor,keystroke_ Aulaweb,keystroke_ Blank,keystroke_ Deeds,keystroke_ Diagram,keystroke_ Other,keystroke_ Properties,keystroke_ Study,keystroke_ TextEditor,mouse_click_ Aulaweb,mouse_click_ Blank,mouse_click_ Deeds,mouse_click_ Diagram,mouse_click_ Other,mouse_click_ Properties,mouse_click_ Study,mouse_click_ TextEditor,mouse_movement_ Aulaweb,mouse_movement_ Blank,mouse_movement_ Deeds,mouse_movement_ Diagram,mouse_movement_ Other,mouse_movement_ Properties,mouse_movement_ Study,mouse_movement_ TextEditor,mouse_wheel_ Aulaweb,mouse_wheel_ Blank,mouse_wheel_ Deeds,mouse_wheel_ Diagram,mouse_wheel_ Other,mouse_wheel_ Properties,mouse_wheel_ Study,mouse_wheel_ TextEditor,attend,mid_grades
1,94.5,742230.6,116583.0,59677432.4,27614812.0,256775.0,1294460.6,28677851.8,69162362.4,0.8,1.0,86.0,3.6,69.8,41.4,59.2,2264.8,36.4,108.6,1188.2,678.0,190.8,165.6,183.6,734.8,2885.4,5845.6,69989.8,46002.4,11860.2,9147.4,28310.4,59135.4,5.4,1.0,29.4,10.4,22.0,86.4,169.8,804.0,5,15.75
2,44.0,1454152.5,13351.166666666666,78861909.5,9305698.0,802182.3333333334,298210.8333333333,32245389.5,164395182.0,0.0,2.1666666666666665,104.33333333333333,1.3333333333333333,111.66666666666667,7.333333333333333,0.0,2785.8333333333335,25.333333333333332,54.0,855.8333333333334,173.83333333333334,136.5,65.66666666666667,104.5,1236.0,1174.1666666666667,2158.3333333333335,36263.333333333336,7584.5,5457.5,2608.5,7795.5,42558.166666666664,0.0,0.0,15.833333333333334,20.166666666666668,31.5,17.333333333333332,182.16666666666666,494.6666666666667,6,17.0
3,85.0,4727.25,593591.0,28726940.25,11512304.5,1553394.5,45061.5,42675112.75,333176755.25,2.0,1.75,104.0,15.0,33.0,0.0,0.0,3836.75,34.5,133.5,1379.25,588.0,122.25,225.0,173.25,838.0,1506.5,4100.25,42181.0,41385.75,5946.75,7300.25,16109.5,61914.5,0.75,0.0,0.0,25.0,0.0,47.75,73.5,429.75,4,15.5
4,30.0,212378.16666666666,1269762.8333333333,52180564.5,11456194.666666666,1373582.8333333333,1668603.5,11508591.666666666,293221099.6666667,19.666666666666668,3.0,112.66666666666667,51.333333333333336,227.83333333333334,354.6666666666667,5.0,3012.6666666666665,51.333333333333336,128.83333333333334,922.6666666666666,362.0,298.0,148.33333333333334,133.0,669.0,1657.6666666666667,3813.1666666666665,25479.833333333332,10456.5,8149.166666666667,5208.333333333333,6797.166666666667,18675.333333333332,27.0,3.3333333333333335,37.166666666666664,8.5,19.5,0.16666666666666666,194.16666666666666,1172.8333333333333,6,21.25
5,38.5,265436.1666666667,916805.3333333334,32631208.166666668,5624912.0,542928.3333333334,209368.5,12873496.5,203190582.66666666,31.5,3.0,318.6666666666667,6.5,48.666666666666664,38.5,1.0,2981.0,37.666666666666664,125.83333333333333,1086.1666666666667,332.3333333333333,272.6666666666667,137.83333333333334,116.33333333333333,587.1666666666666,5765.333333333333,6802.166666666667,74971.16666666667,29095.5,18624.166666666668,10158.0,20064.166666666668,66536.0,19.333333333333332,4.5,43.5,6.833333333333333,17.833333333333332,62.166666666666664,120.83333333333333,852.8333333333334,6,20.75
6,82.0,4503992.6,3165197.0,19655331.0,4693080.8,6555510.4,1360611.0,66463531.4,338614353.0,0.0,38.8,17.6,0.0,252.4,17.8,0.8,3031.0,57.8,339.4,927.0,389.0,299.0,151.2,170.4,1089.4,3937.4,13384.8,44820.6,24446.0,16769.4,10130.8,24737.8,78516.0,14.0,1.6,26.4,1.4,39.0,65.4,206.6,2527.0,5,19.5
7,52.5,287673104.5,27406.0,48984833.166666664,17898093.5,2891063.3333333335,673997.1666666666,17831703.833333332,187336152.0,1.5,1.1666666666666667,132.33333333333334,47.833333333333336,98.66666666666667,26.666666666666668,9.833333333333334,2796.3333333333335,44.5,56.833333333333336,895.3333333333334,261.1666666666667,141.16666666666666,86.66666666666667,121.83333333333333,669.5,3024.1666666666665,2793.1666666666665,39584.833333333336,12957.666666666666,8010.666666666667,3286.3333333333335,12396.833333333334,42225.833333333336,29.833333333333332,0.8333333333333334,13.166666666666666,4.833333333333333,86.66666666666667,11.0,253.5,540.1666666666666,6,18.5
8,8.5,56460.0,54007.75,86695447.25,5378052.75,2826853.0,4063557.0,17151954.5,470103089.0,0.0,0.0,40.5,0.0,1.0,2.0,0.0,2333.75,39.0,77.75,1086.5,392.75,43.25,96.25,79.75,1230.25,2849.75,4132.75,49196.0,17007.0,3282.75,4213.75,7603.75,64180.5,4.75,5.75,103.75,4.5,19.25,68.5,105.25,928.25,4,14.5
9,18.5,1822158.2,4486152.6,16747609.6,7696812.8,1268582.6,2870455.6,9710214.6,187873899.6,0.0,0.2,35.4,2.4,45.6,13.6,7.2,2365.0,41.6,77.8,1092.2,335.4,216.0,133.4,133.0,694.2,3079.0,2862.0,38546.6,15090.2,8960.8,4099.8,6624.6,35358.2,24.2,0.8,16.2,14.8,56.4,49.8,82.6,1047.4,5,13.0
10,59.0,93664.83333333333,3876886.6666666665,50464279.333333336,8352858.0,9180161.166666666,837862.1666666666,17654813.5,168236485.5,0.0,1.3333333333333333,23.0,2.1666666666666665,152.5,37.833333333333336,0.0,2226.5,38.333333333333336,146.5,1664.0,590.1666666666666,268.0,328.0,128.66666666666666,903.5,2675.3333333333335,6834.5,68484.5,26039.333333333332,13353.333333333334,9371.0,10577.166666666666,58905.166666666664,13.0,7.833333333333333,46.5,17.0,44.166666666666664,56.666666666666664,93.0,928.6666666666666,6,20.5
