session,student_id,activity,idle_time,mouse_wheel,mouse_wheel_click,mouse_click_left,mouse_click_right,mouse_movement,keystroke
1,1, Aulaweb,3647532,27,0,80,0,8873,0
1,1, Blank,33274,0,0,207,30,14322,5
1,1, Deeds,32405168,21,0,1636,197,123316,152
1,1, Diagram,57068818,9,0,1141,44,78390,4
1,1, Other,673720,54,0,252,6,21783,71
1,1, Properties,72754,0,0,104,0,6096,54
1,1, Study,3578043,74,0,194,6,28600,0
1,1, TextEditor,1165152,265,0,702,11,43592,898
1,2, Aulaweb,90533,0,0,0,0,0,0
1,2, Blank,5119,0,0,0,0,0,5
1,2, Deeds,153036710,0,0,2,0,45,236
1,2, Diagram,15821086,0,0,0,0,0,8
1,2, Other,1144159,0,0,0,0,37,124
1,2, Properties,22007,0,0,0,0,0,0
1,2, Study,1374319,0,0,0,0,0,0
1,2, TextEditor,12295064,0,0,0,0,0,803
1,4, Aulaweb,467029,0,0,0,0,0,6
1,4, Blank,40315,0,0,13,0,330,5
1,4, Deeds,17320071,0,0,280,8,9597,244
1,4, Diagram,7786970,0,0,0,0,0,30
1,4, Other,3576169,0,0,2,0,72,222
1,4, Properties,24706,0,0,0,0,0,58
1,4, Study,45434441,0,0,13,0,458,2
1,4, TextEditor,3644990,0,0,0,0,0,1023
1,5, Aulaweb,1302787,70,0,131,4,24439,189
1,5, Blank,5292254,12,0,147,2,11994,2
1,5, Deeds,28960131,13,0,900,6,80119,310
1,5, Diagram,9919495,19,0,508,0,43123,5
1,5, Other,1618069,19,0,541,38,43101,104
1,5, Properties,105690,0,0,42,0,4097,62
1,5, Study,572534,121,0,159,0,25706,6
1,5, TextEditor,2609364,363,0,237,0,29833,635
1,7, Aulaweb,937,0,0,34,0,1458,0
1,7, Blank,5527,0,0,40,0,1803,3
1,7, Deeds,122404677,0,12,1287,58,65000,396
1,7, Diagram,58494163,0,2,505,4,21271,265
1,7, Other,1006004,0,0,202,0,7935,131
1,7, Properties,15979,0,0,52,0,1502,42
1,7, Study,2572151,0,0,77,2,4960,0
1,7, TextEditor,5644434,0,4,283,0,13078,1042
1,9, Aulaweb,9001068,51,0,94,2,9381,0
1,9, Blank,348144,0,0,73,4,3474,0
1,9, Deeds,2809682,7,0,1167,192,52806,12
1,9, Diagram,1220659,0,0,181,24,11561,6
1,9, Other,1081617,141,0,306,20,18415,40
1,9, Properties,3666,0,0,22,0,912,0
1,9, Study,668826,97,0,203,48,8974,0
1,9, TextEditor,1161889,298,0,371,2,19615,788
1,10, Blank,30,0,0,26,25,2246,0
1,10, Deeds,215751705,24,0,1442,160,87513,34
1,10, Diagram,15104244,0,0,275,8,21384,0
1,10, Other,6152924,10,0,404,12,17263,78
1,10, Properties,19868,0,0,33,0,1676,42
1,10, TextEditor,22242360,549,0,494,3,34808,577
1,11, Aulaweb,6399655,37,0,143,6,20009,0
1,11, Blank,182271,5,0,128,21,13778,5
1,11, Deeds,77054626,36,0,1068,128,87040,32
1,11, Diagram,12587415,38,0,506,2,36140,34
1,11, Other,8937181,21,0,275,24,27511,350
1,11, Properties,3999,0,0,43,0,2792,0
1,11, Study,1230143,65,0,113,0,16881,0
1,11, TextEditor,99756012,136,0,573,13,56276,392
1,12, Aulaweb,12753848,0,0,104,0,4481,0
1,12, Blank,12312,0,0,154,7,3436,0
1,12, Deeds,7473932,0,0,1086,128,33711,118
1,12, Diagram,26808385,0,0,257,0,12328,2
1,12, Other,7350044,0,0,771,46,20168,617
1,12, Properties,25786,0,0,25,0,627,0
1,12, Study,1694901,0,0,221,0,11076,0
1,12, TextEditor,2792364,0,0,340,1,9451,781
1,14, Aulaweb,995286,17,0,36,0,4727,0
1,14, Blank,72699,0,0,47,0,4076,0
1,14, Deeds,68775332,23,0,1323,322,92481,93
1,14, Diagram,22777453,0,0,169,18,12080,0
1,14, Other,42818107,677,0,486,8,49229,143
1,14, Properties,34881,0,0,41,0,2101,104
1,14, Study,3569561,80,0,151,0,13625,0
1,14, TextEditor,19860689,581,0,389,8,25773,799
1,15, Aulaweb,71534,0,0,54,4,2233,51
1,15, Blank,284475,0,0,152,5,4537,0
1,15, Deeds,131059361,0,0,1344,160,53011,321
1,15, Diagram,33510195,0,0,790,28,24626,38
1,15, Other,2490946,0,0,232,25,8618,83
1,15, Properties,57565,0,0,36,0,1392,42
1,15, Study,5530224,0,0,218,1,12098,0
1,15, TextEditor,8634461,0,0,681,1,24933,780
1,17, Aulaweb,13458,0,0,43,0,1110,16
1,17, Blank,16102,0,0,15,19,1210,0
1,17, Deeds,3040023,0,0,640,104,19968,116
1,17, Diagram,24157,0,0,71,0,2377,0
1,17, Other,24313,0,0,52,0,2553,22
1,17, Properties,63,0,0,20,0,507,0
1,17, Study,24590,0,0,96,0,3297,16
1,17, TextEditor,5271376,0,0,215,1,5543,759
1,19, Aulaweb,508699,0,0,14,0,325,8
1,19, Blank,58868,0,0,18,0,1210,0
1,19, Deeds,160035783,0,0,1632,224,80322,191
1,19, Diagram,1324797,0,0,232,0,5415,166
1,19, Other,1966054,0,0,201,0,12222,125
1,19, Properties,1813,0,0,30,0,809,0
1,19, TextEditor,4858614,20,0,373,8,23636,529
1,20, Aulaweb,249984,0,0,174,22,8106,0
1,20, Blank,64018,0,0,95,5,2248,0
1,20, Deeds,46194110,0,0,1280,18,57646,331
1,20, Diagram,43598013,0,0,788,6,35660,92
1,20, Other,265419,0,0,206,2,7233,0
1,20, Properties,30804,0,0,50,0,1890,2
1,20, Study,1649907,0,0,229,0,13743,76
1,20, TextEditor,3485466,0,0,348,9,18467,615
1,21, Aulaweb,2092,0,0,27,0,918,0
1,21, Blank,260,0,0,74,0,1874,0
1,21, Deeds,13589309,2,0,1212,8,56251,426
1,21, Diagram,8611295,0,0,600,0,21961,10
1,21, Other,57079,0,0,124,6,5000,78
1,21, Properties,13625,0,0,40,0,1173,58
1,21, Study,2744196,365,0,101,2,5870,0
1,21, TextEditor,10996474,391,0,409,4,18274,1134
1,22, Aulaweb,216111,0,0,43,0,789,0
1,22, Blank,592163,0,0,99,0,2224,0
1,22, Deeds,78438143,0,0,1053,156,28911,86
1,22, Diagram,19726980,0,0,575,10,17119,6
1,22, Other,1920396,0,0,338,20,8287,186
1,22, Properties,43738,0,0,46,0,1418,72
1,22, Study,1552008,0,0,121,0,4141,0
1,22, TextEditor,15502723,177,0,355,0,10626,808
1,28, Aulaweb,133725,0,0,45,0,2453,0
1,28, Blank,115698,0,0,131,1,6966,0
1,28, Deeds,27867566,0,0,946,96,38506,26
1,28, Diagram,22097524,0,0,142,0,6260,20
1,28, Other,719273,0,0,125,0,6813,54
1,28, Properties,64877,0,0,13,0,596,0
1,28, Study,5568500,0,0,250,1,12248,0
1,28, TextEditor,1926539,0,0,30,0,2944,0
1,30, Aulaweb,21792151,87,2,180,0,15315,85
1,30, Blank,2559102,0,0,104,8,6180,0
1,30, Deeds,30195160,28,0,1192,64,79252,319
1,30, Diagram,28126550,5,0,349,0,17940,0
1,30, Other,3441853,78,2,552,80,45011,243
1,30, Properties,155832,0,0,63,0,3508,62
1,30, Study,1523189,468,10,280,0,28375,3
1,30, TextEditor,8590131,917,0,556,30,38719,703
1,32, Aulaweb,95104,0,0,116,0,6192,0
1,32, Blank,639,0,0,72,4,3617,0
1,32, Deeds,36861396,0,0,1351,190,69441,71
1,32, Diagram,7664167,0,0,416,32,26730,0
1,32, Other,1969750,0,0,510,28,25197,255
1,32, Properties,19320,0,0,45,0,1753,49
1,32, Study,9932257,176,0,274,0,20061,22
1,32, TextEditor,17068722,0,0,634,0,34195,794
1,34, Aulaweb,8766011,1,0,53,0,6163,0
1,34, Blank,11257,0,0,64,6,3599,0
1,34, Deeds,76921812,2,0,958,148,62911,58
1,34, Diagram,1718892,6,0,328,12,17998,2
1,34, Other,1088388,30,0,90,2,6741,34
1,34, Properties,22721,0,0,17,0,1199,0
1,34, Study,1598746,29,0,51,0,8516,0
1,34, TextEditor,6151545,317,0,428,0,30667,586
1,36, Aulaweb,2155597,4,0,8,0,643,0
1,36, Blank,20048,0,0,37,6,3247,2
1,36, Deeds,28716548,19,0,812,100,43239,113
1,36, Diagram,14054779,5,0,979,4,37846,33
1,36, Other,7007963,0,0,200,2,10809,8
1,36, Properties,224168,0,0,45,0,2629,90
1,36, Study,12968758,19,0,74,0,4417,0
1,36, TextEditor,77878369,433,0,389,0,25217,917
1,37, Blank,52729321,197,0,716,32,74837,540
1,37, Deeds,22880807,4,0,1169,138,92622,14
1,37, Diagram,8875658,13,0,717,8,33000,0
1,37, Other,702286,27,0,120,12,12744,48
1,37, Properties,602097,0,0,26,0,1267,0
1,37, TextEditor,6183283,289,0,308,6,30842,833
1,38, Aulaweb,30270,0,0,16,0,816,0
1,38, Blank,48842,0,0,52,0,1941,0
1,38, Deeds,132324876,0,0,1271,14,44280,321
1,38, Diagram,6249744,0,0,293,0,11849,2
1,38, Other,596518,0,0,101,0,3983,293
1,38, Properties,4149,0,0,22,0,880,0
1,38, Study,36021245,0,0,86,0,4647,2418
1,38, TextEditor,25180127,0,0,379,2,17919,476
1,39, Aulaweb,14526,19,3,62,3,2579,0
1,39, Blank,582542,11,0,119,3,6396,0
1,39, Deeds,88329401,44,14,1419,230,56215,171
1,39, Diagram,28286193,29,0,519,92,30550,16
1,39, Other,2706559,6,0,430,36,20270,278
1,39, Properties,49865,0,0,74,0,2484,42
1,39, Study,1615864,129,33,114,2,10408,0
1,39, TextEditor,26118977,609,2,338,4,24339,1324
1,42, Aulaweb,47044,161,0,69,0,2798,0
1,42, Blank,101312,13,0,155,4,4819,0
1,42, Deeds,64443758,0,0,1493,214,59905,68
1,42, Diagram,28964304,0,0,395,6,17084,6
1,42, Other,1420262,0,0,252,16,8849,73
1,42, Properties,971056,0,0,80,0,2649,64
1,42, Study,1442758,688,0,259,4,12794,0
1,42, TextEditor,8420546,915,0,403,32,14523,1614
1,43, Aulaweb,335450,0,0,84,0,3482,1
1,43, Blank,8158,0,0,28,0,1099,0
1,43, Deeds,147773654,0,0,1310,2,42988,631
1,43, Diagram,25619144,0,0,385,0,17478,18
1,43, Other,1919600,0,0,264,10,8257,154
1,43, Properties,61927,0,0,36,0,891,42
1,43, Study,5111788,0,0,167,0,9602,3
1,43, TextEditor,13025149,0,0,554,0,19680,1664
1,44, Aulaweb,271020,16,0,43,0,10542,6
1,44, Blank,16250,2,0,30,0,3159,0
1,44, Deeds,49643776,0,0,1004,2,116223,455
1,44, Diagram,12107543,3,0,656,0,37498,20
1,44, Other,181971,219,0,269,10,32888,101
1,44, Properties,265,0,0,20,0,2566,0
1,44, Study,9612750,115,0,290,0,37107,32
1,44, TextEditor,2226241,817,0,363,0,52865,876
