,session,student_id,activity,idle_time,mouse_wheel,mouse_wheel_click,mouse_click_left,mouse_click_right,mouse_movement,keystroke
0,1,1, Aulaweb,3647532.0,27,0,80,0,8873,0
1,1,1, Blank,33274.0,0,0,207,30,14322,5
2,1,1, Deeds,32405168.0,21,0,1636,197,123316,152
3,1,1, Diagram,57068818.0,9,0,1141,44,78390,4
4,1,1, Other,673720.0,54,0,252,6,21783,71
5,1,1, Properties,72754.0,0,0,104,0,6096,54
6,1,1, Study,3578043.0,74,0,194,6,28600,0
7,1,1, TextEditor,1165152.0,265,0,702,11,43592,898
8,1,2, Aulaweb,90533.0,0,0,0,0,0,0
9,1,2, Blank,5119.0,0,0,0,0,0,5
10,1,2, Deeds,153036710.0,0,0,2,0,45,236
11,1,2, Diagram,15821086.0,0,0,0,0,0,8
12,1,2, Other,1144159.0,0,0,0,0,37,124
13,1,2, Properties,22007.0,0,0,0,0,0,0
14,1,2, Study,1374319.0,0,0,0,0,0,0
15,1,2, TextEditor,12295064.0,0,0,0,0,0,803
16,1,4, Aulaweb,467029.0,0,0,0,0,0,6
17,1,4, Blank,40315.0,0,0,13,0,330,5
18,1,4, Deeds,17320071.0,0,0,280,8,9597,244
19,1,4, Diagram,7786970.0,0,0,0,0,0,30
20,1,4, Other,3576169.0,0,0,2,0,72,222
21,1,4, Properties,24706.0,0,0,0,0,0,58
22,1,4, Study,45434441.0,0,0,13,0,458,2
23,1,4, TextEditor,3644990.0,0,0,0,0,0,1023
24,1,5, Aulaweb,1302787.0,70,0,131,4,24439,189
25,1,5, Blank,5292254.0,12,0,147,2,11994,2
26,1,5, Deeds,28960131.0,13,0,900,6,80119,310
27,1,5, Diagram,9919495.0,19,0,508,0,43123,5
28,1,5, Other,1618069.0,19,0,541,38,43101,104
29,1,5, Properties,105690.0,0,0,42,0,4097,62
30,1,5, Study,572534.0,121,0,159,0,25706,6
31,1,5, TextEditor,2609364.0,363,0,237,0,29833,635
32,1,7, Aulaweb,937.0,0,0,34,0,1458,0
33,1,7, Blank,5527.0,0,0,40,0,1803,3
34,1,7, Deeds,122404677.0,0,12,1287,58,65000,396
35,1,7, Diagram,58494163.0,0,2,505,4,21271,265
36,1,7, Other,1006004.0,0,0,202,0,7935,131
37,1,7, Properties,15979.0,0,0,52,0,1502,42
38,1,7, Study,2572151.0,0,0,77,2,4960,0
39,1,7, TextEditor,5644434.0,0,4,283,0,13078,1042
40,1,9, Aulaweb,9001068.0,51,0,94,2,9381,0
41,1,9, Blank,348144.0,0,0,73,4,3474,0
42,1,9, Deeds,2809682.0,7,0,1167,192,52806,12
43,1,9, Diagram,1220659.0,0,0,181,24,11561,6
44,1,9, Other,1081617.0,141,0,306,20,18415,40
45,1,9, Properties,3666.0,0,0,22,0,912,0
46,1,9, Study,668826.0,97,0,203,48,8974,0
47,1,9, TextEditor,1161889.0,298,0,371,2,19615,788
48,1,10, Blank,30.0,0,0,26,25,2246,0
49,1,10, Deeds,215751705.0,24,0,1442,160,87513,34
50,1,10, Diagram,15104244.0,0,0,275,8,21384,0
51,1,10, Other,6152924.0,10,0,404,12,17263,78
52,1,10, Properties,19868.0,0,0,33,0,1676,42
53,1,10, TextEditor,22242360.0,549,0,494,3,34808,577
54,1,11, Aulaweb,6399655.0,37,0,143,6,20009,0
55,1,11, Blank,182271.0,5,0,128,21,13778,5
56,1,11, Deeds,77054626.0,36,0,1068,128,87040,32
57,1,11, Diagram,12587415.0,38,0,506,2,36140,34
58,1,11, Other,8937181.0,21,0,275,24,27511,350
59,1,11, Properties,3999.0,0,0,43,0,2792,0
60,1,11, Study,1230143.0,65,0,113,0,16881,0
61,1,11, TextEditor,99756012.0,136,0,573,13,56276,392
62,1,12, Aulaweb,12753848.0,0,0,104,0,4481,0
63,1,12, Blank,12312.0,0,0,154,7,3436,0
64,1,12, Deeds,7473932.0,0,0,1086,128,33711,118
65,1,12, Diagram,26808385.0,0,0,257,0,12328,2
66,1,12, Other,7350044.0,0,0,771,46,20168,617
67,1,12, Properties,25786.0,0,0,25,0,627,0
68,1,12, Study,1694901.0,0,0,221,0,11076,0
69,1,12, TextEditor,2792364.0,0,0,340,1,9451,781
70,1,14, Aulaweb,995286.0,17,0,36,0,4727,0
71,1,14, Blank,72699.0,0,0,47,0,4076,0
72,1,14, Deeds,68775332.0,23,0,1323,322,92481,93
73,1,14, Diagram,22777453.0,0,0,169,18,12080,0
74,1,14, Other,42818107.0,677,0,486,8,49229,143
75,1,14, Properties,34881.0,0,0,41,0,2101,104
76,1,14, Study,3569561.0,80,0,151,0,13625,0
77,1,14, TextEditor,19860689.0,581,0,389,8,25773,799
78,1,15, Aulaweb,71534.0,0,0,54,4,2233,51
79,1,15, Blank,284475.0,0,0,152,5,4537,0
80,1,15, Deeds,131059361.0,0,0,1344,160,53011,321
81,1,15, Diagram,33510195.0,0,0,790,28,24626,38
82,1,15, Other,2490946.0,0,0,232,25,8618,83
83,1,15, Properties,57565.0,0,0,36,0,1392,42
84,1,15, Study,5530224.0,0,0,218,1,12098,0
85,1,15, TextEditor,8634461.0,0,0,681,1,24933,780
86,1,17, Aulaweb,13458.0,0,0,43,0,1110,16
87,1,17, Blank,16102.0,0,0,15,19,1210,0
88,1,17, Deeds,3040023.0,0,0,640,104,19968,116
89,1,17, Diagram,24157.0,0,0,71,0,2377,0
90,1,17, Other,24313.0,0,0,52,0,2553,22
91,1,17, Properties,63.0,0,0,20,0,507,0
92,1,17, Study,24590.0,0,0,96,0,3297,16
93,1,17, TextEditor,5271376.0,0,0,215,1,5543,759
94,1,19, Aulaweb,508699.0,0,0,14,0,325,8
95,1,19, Blank,58868.0,0,0,18,0,1210,0
96,1,19, Deeds,160035783.0,0,0,1632,224,80322,191
97,1,19, Diagram,1324797.0,0,0,232,0,5415,166
98,1,19, Other,1966054.0,0,0,201,0,12222,125
99,1,19, Properties,1813.0,0,0,30,0,809,0
100,1,19, TextEditor,4858614.0,20,0,373,8,23636,529
101,1,20, Aulaweb,249984.0,0,0,174,22,8106,0
102,1,20, Blank,64018.0,0,0,95,5,2248,0
103,1,20, Deeds,46194110.0,0,0,1280,18,57646,331
104,1,20, Diagram,43598013.0,0,0,788,6,35660,92
