ID,DUR_Aulaweb,DUR_Blank,DUR_Deeds,DUR_Diagram,DUR_Other,DUR_Properties,DUR_Study,DUR_TextEditor,KS_Aulaweb,KS_Blank,KS_Deeds,KS_Diagram,KS_Other,KS_Properties,KS_Study,KS_TextEditor,MCL_Aulaweb,MCL_Blank,MCL_Deeds,MCL_Diagram,MCL_Other,MCL_Properties,MCL_Study,MCL_TextEditor,MCR_Aulaweb,MCR_Blank,MCR_Deeds,MCR_Diagram,MCR_Other,MCR_Study,MCR_TextEditor,MM_Aulaweb,MM_Blank,MM_Deeds,MM_Diagram,MM_Other,MM_Properties,MM_Study,MM_TextEditor,MW_Aulaweb,MW_Blank,MW_Deeds,MW_Diagram,MW_Other,MW_Study,MW_TextEditor,MWC_Aulaweb,MWC_Study
1,1108.0,15296.0,33635659.0,8685148.0,39820.0,3493.0,100878318.0,118425808.0,0.0,0.0,165.0,0.0,54.0,0.0,0.0,3077.0,26.0,114.0,2051.0,387.0,227.0,34.0,200.0,1226.0,0.0,10.0,298.0,2.0,0.0,0.0,4.0,898.0,5926.0,125780.0,33547.0,13172.0,2494.0,25616.0,97360.0,0.0,5.0,54.0,0.0,55.0,176.0,1191.0,0.0,0.0
2,13063.0,27628.0,152742872.0,898633.0,419913.0,294227.0,14462337.0,347521629.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,4923.0,32.0,74.0,1231.0,117.0,168.0,19.0,155.0,2142.0,0.0,0.0,40.0,0.0,0.0,0.0,58.0,502.0,1364.0,27226.0,2689.0,3320.0,334.0,3626.0,34849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6891.0,1894304.0,64732143.0,779097.0,3677630.0,93.0,118419039.0,424103241.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,4136.0,52.0,170.0,1333.0,145.0,143.0,8.0,253.0,777.0,0.0,0.0,162.0,0.0,4.0,0.0,0.0,1143.0,4039.0,33474.0,5091.0,4645.0,260.0,6704.0,37932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,37073.0,538424.0,126805821.0,255194.0,3453213.0,1170.0,1972457.0,196191366.0,29.0,0.0,268.0,26.0,431.0,0.0,8.0,5010.0,73.0,194.0,2038.0,110.0,535.0,17.0,132.0,1366.0,0.0,19.0,200.0,0.0,19.0,2.0,0.0,1401.0,4324.0,55762.0,4212.0,12766.0,302.0,4016.0,34394.0,12.0,5.0,95.0,0.0,51.0,157.0,2022.0,0.0,0.0
5,8813.0,11555.0,79309264.0,347358.0,49656.0,9502.0,48292987.0,275261872.0,0.0,9.0,1272.0,0.0,31.0,0.0,0.0,4178.0,54.0,142.0,2723.0,245.0,198.0,53.0,191.0,1037.0,0.0,62.0,34.0,0.0,5.0,2.0,29.0,5040.0,9853.0,177454.0,16197.0,11640.0,3266.0,28114.0,87666.0,2.0,0.0,106.0,0.0,4.0,150.0,1280.0,0.0,0.0
6,10075.0,37105.0,64488350.0,5762.0,6337175.0,220.0,169526605.0,160090223.0,0.0,65.0,76.0,0.0,54.0,0.0,0.0,3981.0,54.0,297.0,1670.0,141.0,279.0,11.0,149.0,1937.0,0.0,20.0,318.0,0.0,4.0,4.0,12.0,3869.0,12030.0,93468.0,6069.0,13491.0,617.0,17137.0,106584.0,4.0,3.0,24.0,0.0,0.0,94.0,1823.0,0.0,0.0
7,589.0,28551.0,5792801.0,1603.0,24100.0,46.0,1333600.0,10197842.0,9.0,0.0,237.0,0.0,235.0,0.0,39.0,3588.0,71.0,159.0,1130.0,104.0,178.0,35.0,245.0,1148.0,0.0,5.0,162.0,0.0,11.0,4.0,2.0,5429.0,8051.0,73677.0,6206.0,16218.0,1624.0,30822.0,89285.0,51.0,2.0,52.0,0.0,279.0,898.0,1144.0,0.0,0.0
8,19439.0,34343.0,148347951.0,459862.0,25798.0,34936.0,63960201.0,441752385.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,3666.0,40.0,54.0,1287.0,179.0,36.0,28.0,111.0,1181.0,0.0,41.0,256.0,6.0,0.0,0.0,23.0,3042.0,6420.0,78251.0,11645.0,2849.0,1177.0,14601.0,73590.0,10.0,3.0,50.0,0.0,0.0,189.0,702.0,0.0,0.0
10,73847.0,689317.0,35947205.0,16891.0,312155.0,16536.0,42519694.0,185364419.0,0.0,6.0,26.0,0.0,54.0,40.0,0.0,4233.0,70.0,130.0,2128.0,125.0,232.0,57.0,188.0,1262.0,0.0,48.0,314.0,0.0,4.0,0.0,4.0,5594.0,7455.0,105722.0,7208.0,11491.0,2915.0,17709.0,87638.0,25.0,2.0,44.0,0.0,2.0,94.0,1142.0,0.0,0.0
11,24981.0,4773105.0,25039031.0,1084269.0,40009.0,535.0,88220227.0,319109276.0,45.0,9.0,0.0,0.0,46.0,0.0,0.0,3489.0,54.0,141.0,1322.0,146.0,142.0,23.0,215.0,1227.0,0.0,59.0,256.0,4.0,13.0,2.0,12.0,5415.0,11688.0,96687.0,13000.0,13094.0,1373.0,53208.0,132524.0,15.0,12.0,0.0,0.0,4.0,152.0,986.0,0.0,0.0
