ID,DUR_Aulaweb,DUR_Blank,DUR_Deeds,DUR_Diagram,DUR_Other,DUR_Properties,DUR_Study,DUR_TextEditor,KS_Aulaweb,KS_Blank,KS_Deeds,KS_Diagram,KS_Other,KS_Properties,KS_Study,KS_TextEditor,MCL_Aulaweb,MCL_Blank,MCL_Deeds,MCL_Diagram,MCL_Other,MCL_Properties,MCL_Study,MCL_TextEditor,MCR_Blank,MCR_Deeds,MCR_Diagram,MCR_Other,MCR_Study,MCR_TextEditor,MM_Aulaweb,MM_Blank,MM_Deeds,MM_Diagram,MM_Other,MM_Properties,MM_Study,MM_TextEditor,MW_Aulaweb,MW_Blank,MW_Deeds,MW_Diagram,MW_Other,MW_Properties,MW_Study,MW_TextEditor
1,30096.0,984.0,220382219.0,34446620.0,8885.0,40208.0,9910558.0,73201000.0,0.0,0.0,69.0,2.0,38.0,0.0,2.0,3684.0,22.0,37.0,1026.0,561.0,74.0,98.0,149.0,920.0,0.0,122.0,12.0,4.0,0.0,0.0,1635.0,1990.0,59096.0,38650.0,4475.0,5442.0,23343.0,73237.0,0.0,0.0,61.0,29.0,0.0,77.0,130.0,989.0
2,93.0,21148.0,24886534.0,5217407.0,818902.0,16.0,7979543.0,79007749.0,0.0,8.0,8.0,0.0,42.0,0.0,0.0,3134.0,12.0,77.0,747.0,370.0,134.0,5.0,145.0,932.0,0.0,116.0,0.0,2.0,0.0,48.0,576.0,3582.0,41507.0,18672.0,5677.0,321.0,14158.0,47347.0,0.0,0.0,42.0,88.0,7.0,0.0,341.0,1099.0
3,1238.0,423003.0,23281932.0,614036.0,2319120.0,124.0,25088162.0,69873913.0,0.0,4.0,45.0,0.0,56.0,0.0,0.0,4648.0,29.0,125.0,1588.0,243.0,91.0,11.0,262.0,803.0,0.0,93.0,8.0,2.0,1.0,0.0,1894.0,5412.0,62381.0,16277.0,6899.0,602.0,30816.0,73524.0,0.0,0.0,0.0,36.0,0.0,0.0,229.0,1163.0
4,339182.0,1084450.0,12013115.0,7897137.0,547245.0,3291.0,3866034.0,82336880.0,26.0,7.0,51.0,54.0,202.0,0.0,5.0,3401.0,51.0,158.0,1144.0,992.0,484.0,16.0,158.0,513.0,4.0,116.0,4.0,24.0,0.0,0.0,2312.0,4619.0,39066.0,14401.0,18698.0,709.0,7581.0,19225.0,44.0,5.0,72.0,42.0,56.0,0.0,279.0,913.0
5,0.0,176793.0,3739608.0,11021808.0,20324.0,26753.0,4929794.0,82691573.0,0.0,0.0,76.0,2.0,32.0,0.0,0.0,2623.0,0.0,39.0,905.0,274.0,77.0,50.0,101.0,594.0,38.0,114.0,8.0,8.0,2.0,6.0,0.0,2352.0,59695.0,32511.0,6189.0,3560.0,16649.0,85688.0,0.0,1.0,39.0,16.0,0.0,165.0,93.0,825.0
6,2888512.0,12642033.0,5255796.0,3718902.0,582776.0,6273.0,32504238.0,82217000.0,0.0,39.0,4.0,0.0,252.0,0.0,4.0,2504.0,82.0,502.0,818.0,492.0,359.0,34.0,203.0,798.0,24.0,90.0,14.0,6.0,0.0,48.0,5579.0,21559.0,49136.0,31789.0,20387.0,1989.0,33849.0,96054.0,3.0,5.0,11.0,7.0,7.0,0.0,253.0,3517.0
7,965565.0,2612.0,43564893.0,2584536.0,15530637.0,0.0,6273190.0,58448404.0,0.0,4.0,24.0,4.0,0.0,0.0,0.0,3463.0,46.0,41.0,399.0,142.0,109.0,12.0,83.0,406.0,0.0,80.0,0.0,4.0,2.0,0.0,4162.0,2054.0,22096.0,10799.0,5671.0,255.0,8200.0,39308.0,45.0,0.0,5.0,0.0,0.0,0.0,17.0,1021.0
8,25933.0,154.0,20251092.0,12132631.0,4847.0,63.0,877765.0,849385119.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1407.0,62.0,33.0,490.0,350.0,15.0,11.0,87.0,822.0,21.0,102.0,2.0,0.0,0.0,27.0,4730.0,2779.0,31212.0,16156.0,1141.0,709.0,5605.0,55613.0,0.0,0.0,21.0,15.0,0.0,0.0,32.0,549.0
9,1705.0,2395768.0,26268909.0,20710097.0,3376267.0,548.0,0.0,144963564.0,0.0,0.0,57.0,2.0,116.0,0.0,0.0,3415.0,20.0,97.0,1157.0,289.0,282.0,26.0,0.0,559.0,0.0,114.0,20.0,6.0,0.0,2.0,1497.0,3767.0,32861.0,15676.0,10026.0,1113.0,0.0,32917.0,50.0,4.0,1.0,5.0,103.0,0.0,0.0,1663.0
10,173.0,1959869.0,8245318.0,7732261.0,1119943.0,15001.0,5744571.0,139753332.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,2735.0,27.0,107.0,1744.0,884.0,134.0,148.0,127.0,925.0,38.0,126.0,4.0,2.0,0.0,16.0,1692.0,7329.0,56183.0,39881.0,6038.0,4621.0,9984.0,63042.0,6.0,9.0,139.0,13.0,8.0,185.0,87.0,2147.0
